psf_over_re,obs_lr,obs_elr,e,n,Reff_fac,Re,fwhm
0,0.352649692027267,0.34974441434622,0.0553439727380612,1.11,0.5,6.9391637572759,0
0.0305965145772012,0.351299822222981,0.348404365728251,0.0553439727380612,1.11,0.5,6.9391637572759,0.5
0.0611930291544025,0.346946750466234,0.344077422181788,0.0553439727380612,1.11,0.5,6.9391637572759,1
0.0917895437316037,0.339876876848401,0.33704769611414,0.0553439727380612,1.11,0.5,6.9391637572759,1.5
0.122386058308805,0.330869995961739,0.328094086900491,0.0553439727380612,1.11,0.5,6.9391637572759,2
0.152982572886006,0.320436661059678,0.317725079158968,0.0553439727380612,1.11,0.5,6.9391637572759,2.5
0.183579087463207,0.3090736210643,0.30643472010567,0.0553439727380612,1.11,0.5,6.9391637572759,3
0.214175602040409,0.29729366757911,0.294732530673631,0.0553439727380612,1.11,0.5,6.9391637572759,3.5
0.24477211661761,0.285566759978394,0.283085084415228,0.0553439727380612,1.11,0.5,6.9391637572759,4
0.275368631194811,0.274265267880546,0.271861776092293,0.0553439727380612,1.11,0.5,6.9391637572759,4.5
0.305965145772013,0.263642176993598,0.261313351396983,0.0553439727380612,1.11,0.5,6.9391637572759,5
0.336561660349214,0.253839267415538,0.251580153542646,0.0553439727380612,1.11,0.5,6.9391637572759,5.5
0.367158174926415,0.244910974706845,0.242715879239765,0.0553439727380612,1.11,0.5,6.9391637572759,6
0.397754689503616,0.23685136248453,0.234714376453822,0.0553439727380612,1.11,0.5,6.9391637572759,6.5
0.428351204080817,0.22961734380312,0.227532691625412,0.0553439727380612,1.11,0.5,6.9391637572759,7
0.458947718658019,0.223145959384634,0.221108206407095,0.0553439727380612,1.11,0.5,6.9391637572759,7.5
0.48954423323522,0.217366032182613,0.215370190228439,0.0553439727380612,1.11,0.5,6.9391637572759,8
0.520140747812421,0.212205424884917,0.210246990334256,0.0553439727380612,1.11,0.5,6.9391637572759,8.5
0.550737262389623,0.207595202037343,0.205670152544533,0.0553439727380612,1.11,0.5,6.9391637572759,9
0.581333776966824,0.203471760215222,0.201576528146159,0.0553439727380612,1.11,0.5,6.9391637572759,9.5
0.611930291544025,0.199777696045827,0.197909130413563,0.0553439727380612,1.11,0.5,6.9391637572759,10
0.642526806121226,0.196461931250438,0.194617255427845,0.0553439727380612,1.11,0.5,6.9391637572759,10.5
0.673123320698428,0.19347942839136,0.191656197858668,0.0553439727380612,1.11,0.5,6.9391637572759,11
0.703719835275629,0.190790703766062,0.188986766209628,0.0553439727380612,1.11,0.5,6.9391637572759,11.5
0.73431634985283,0.188361260599571,0.186574719475839,0.0553439727380612,1.11,0.5,6.9391637572759,12
0.764912864430031,0.186161012922357,0.184390194883796,0.0553439727380612,1.11,0.5,6.9391637572759,12.5
0.795509379007232,0.184163737964348,0.182407164135704,0.0553439727380612,1.11,0.5,6.9391637572759,13
0.826105893584434,0.18234657530695,0.180602936183084,0.0553439727380612,1.11,0.5,6.9391637572759,13.5
0.856702408161635,0.180689579585643,0.178957713220674,0.0553439727380612,1.11,0.5,6.9391637572759,14
0.887298922738836,0.179175327103158,0.177454200226633,0.0553439727380612,1.11,0.5,6.9391637572759,14.5
0.917895437316037,0.177788573319061,0.176077265018686,0.0553439727380612,1.11,0.5,6.9391637572759,15
0,0.405516769123901,0.400309993089926,0.0874624664625557,1.11,0.5,6.94671407634365,0
0.0305632595094267,0.403926136878332,0.398734937402884,0.0874624664625557,1.11,0.5,6.94671407634365,0.5
0.0611265190188535,0.399020581662952,0.393872615998713,0.0874624664625557,1.11,0.5,6.94671407634365,1
0.0916897785282802,0.391069538451871,0.385986374533653,0.0874624664625557,1.11,0.5,6.94671407634365,1.5
0.122253038037707,0.380885214499588,0.375886074795122,0.0874624664625557,1.11,0.5,6.94671407634365,2
0.152816297547134,0.369051468777717,0.364153870892814,0.0874624664625557,1.11,0.5,6.94671407634365,2.5
0.18337955705656,0.356135835513625,0.35135420828733,0.0874624664625557,1.11,0.5,6.94671407634365,3
0.213942816565987,0.34272253291642,0.338066658364149,0.0874624664625557,1.11,0.5,6.94671407634365,3.5
0.244506076075414,0.329348545522697,0.32482286175307,0.0874624664625557,1.11,0.5,6.94671407634365,4
0.275069335584841,0.316441548230409,0.312045483859073,0.0874624664625557,1.11,0.5,6.94671407634365,4.5
0.305632595094267,0.304294199442486,0.300023203646105,0.0874624664625557,1.11,0.5,6.94671407634365,5
0.336195854603694,0.293072511397279,0.288919322101679,0.0874624664625557,1.11,0.5,6.94671407634365,5.5
0.366759114113121,0.282842415381772,0.278798231090451,0.0874624664625557,1.11,0.5,6.94671407634365,6
0.397322373622547,0.273600228567549,0.269655627246212,0.0874624664625557,1.11,0.5,6.94671407634365,6.5
0.427885633131974,0.265299095860628,0.261444674883896,0.0874624664625557,1.11,0.5,6.94671407634365,7
0.458448892641401,0.257868789331279,0.254095566352891,0.0874624664625557,1.11,0.5,6.94671407634365,7.5
0.489012152150828,0.251229143440339,0.247528778032716,0.0874624664625557,1.11,0.5,6.94671407634365,8
0.519575411660254,0.245298476103517,0.241663368558418,0.0874624664625557,1.11,0.5,6.94671407634365,8.5
0.550138671169681,0.239998458538165,0.236421770374162,0.0874624664625557,1.11,0.5,6.94671407634365,9
0.580701930679108,0.235256640913006,0.231732269009132,0.0874624664625557,1.11,0.5,6.94671407634365,9.5
0.611265190188535,0.231007513488661,0.227530039276133,0.0874624664625557,1.11,0.5,6.94671407634365,10
0.641828449697961,0.227192699832002,0.223757327217365,0.0874624664625557,1.11,0.5,6.94671407634365,10.5
